source_pillar,source_article,article_url,anchor_text,brand,product_name_guess,retailer_url,link_quality,audit_note (context),DIRECT PRODUCT URL FOR SALE,Chateau's Thoughts,csv_price,csv_category
Shop,Chateau Shop Adds 2026-05-14,,Simple Linen Napkin - Flax,Hawkins New York,Simple Linen Napkin - Flax,,clean direct-to-product,obj_id=HS-LIVE-001 | shop_categories=Home; Table; Dining,https://www.hawkinsnewyork.com/products/simple-linen-napkin-flax,Stonewashed linen that looks better slightly rumpled. Adds texture without turning the table into a performance.,$22,home
Shop,Chateau Shop Adds 2026-05-14,,"Essential Dinner Napkin, Set of 4 - Ivory",Hawkins New York,"Essential Dinner Napkin, Set of 4 - Ivory",,clean direct-to-product,obj_id=HS-LIVE-002 | shop_categories=Home; Table; Dining,https://www.hawkinsnewyork.com/products/essential-dinner-napkin-ivory,"Casual enough for Tuesday, good enough for people you actually like. The fringe gives the table a little life.",$48,home
Shop,Chateau Shop Adds 2026-05-14,,Brass Tray Oval S,Fog Linen Work,Brass Tray Oval S,,clean direct-to-product,obj_id=HS-LIVE-003 | shop_categories=Home; Objects; Entryway,https://foglinenwork.com/c/gr122/IHP007S,"Small enough to live by a sink, bedside, or entryway. Brass earns its keep when it patinas instead of staying perfect.",$29,home
Shop,Chateau Shop Adds 2026-05-14,,Brass Tray Oval M,Fog Linen Work,Brass Tray Oval M,,clean direct-to-product,obj_id=HS-LIVE-004 | shop_categories=Home; Objects; Entryway,https://foglinenwork.com/c/gr122/IHP007M,"The medium size makes it less decorative and more useful. Keys, candles, fruit, mail, all of it looks calmer here.",$58,home
Shop,Chateau Shop Adds 2026-05-14,,"FÄRGKLAR 18-piece dinnerware set, matte dark gray",IKEA,"FÄRGKLAR 18-piece dinnerware set, matte dark gray",,clean direct-to-product,obj_id=HS-LIVE-005 | shop_categories=Home; Table; Dining,https://www.ikea.com/us/en/p/faergklar-18-piece-dinnerware-set-matte-dark-gray-20564710/,"The rare inexpensive plate that knows when to be quiet. Matte surface, simple shape, no fake heritage.",$50,home
Shop,Chateau Shop Adds 2026-05-14,,"FÄRGKLAR Plate, matte green, 10""",IKEA,"FÄRGKLAR Plate, matte green, 10""",,clean direct-to-product,obj_id=HS-LIVE-006 | shop_categories=Home; Table; Dining,https://www.ikea.com/us/en/p/faergklar-plate-matte-green-90478177/,Useful as a low-cost table reset. The green is soft enough to layer with better ceramics without pretending to be them.,$3,home
Shop,Chateau Shop Adds 2026-05-14,,Bud Vase,Heath Ceramics,Bud Vase,,clean direct-to-product,obj_id=HS-LIVE-007 | shop_categories=Home; Objects; Flowers,https://www.heathceramics.com/products/bud-vase,"A small vessel with real staying power. One stem, one branch, one little correction to the room.",$43,home
Shop,Chateau Shop Adds 2026-05-14,,Honeycomb Organic Blanket,Coyuchi,Honeycomb Organic Blanket,,clean direct-to-product,obj_id=HS-LIVE-008 | shop_categories=Home; Bedroom; Textiles,https://www.coyuchi.com/products/honeycomb-organic-blanket-undyed-oyster,"Weighty without going plush. The texture does the work, which is exactly the point.",$178,home
Shop,Chateau Shop Adds 2026-05-14,,Cozy Cotton Organic Blanket - Stone,Coyuchi,Cozy Cotton Organic Blanket - Stone,,clean direct-to-product,obj_id=HS-LIVE-009 | shop_categories=Home; Bedroom; Textiles,https://www.coyuchi.com/products/cozy-cotton-organic-blanket-stone,Soft without the synthetic hotel-suite feeling. A cleaner answer to comfort.,$178,home
Shop,Chateau Shop Adds 2026-05-14,,Coyuchi Conserve Organic Paperless Towels,Coyuchi,Coyuchi Conserve Organic Paperless Towels,,clean direct-to-product,obj_id=HS-LIVE-010 | shop_categories=Home; Kitchen; Cleaning,https://www.coyuchi.com/products/coyuchi-conserve-organic-paperless-towels-undyed-w-blue-jay,"A humble object that improves the rhythm of the kitchen. Useful, washable, and better looking than a paper towel pile.",$38,home
Shop,Chateau Shop Adds 2026-05-14,,Unisex Organic Waffle Robe - Alpine White,Coyuchi,Unisex Organic Waffle Robe - Alpine White,,clean direct-to-product,obj_id=HS-LIVE-011 | shop_categories=Home; Bath; Travel,https://www.coyuchi.com/products/unisex-organic-waffle-robe-alpine-white,Light enough to use daily. The waffle texture keeps it from becoming spa cosplay.,$98,home
