brand,product_name,slug,direct_product_url,category,subcategory,gender_tags,atmosphere_collection,territory_weather,stability_tier,price_tier,price,manual_images,article_refs,chateau_thoughts,status,notes
Hawkins New York,Simple Linen Napkin - Flax,hawkins-new-york-simple-linen-napkin-flax,https://www.hawkinsnewyork.com/products/simple-linen-napkin-flax,home,table linens,all,Table Atmosphere; Weeknight Table; The Anti-Hostess Table,table softness / linen texture / understated hosting,1,low,$22,,,Stonewashed linen that looks better slightly rumpled. Adds texture without making the table perform.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Hawkins New York,Essential Glassware - Clear,hawkins-new-york-essential-glassware-clear,https://www.hawkinsnewyork.com/products/essential-glassware-clear,home,glassware,all,Weeknight Table; Useful Beauty; Things That Improve a Tuesday,table softness / linen texture / understated hosting,1,mid,,,,Thin enough to feel considered. Durable enough to stay in daily rotation.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Hawkins New York,Essential Glass Pitcher - Clear,hawkins-new-york-essential-glass-pitcher-clear,https://www.hawkinsnewyork.com/products/essential-glass-pitcher-clear,home,glassware,all,Table Atmosphere; Better Hotel Energy; Useful Beauty,table softness / linen texture / understated hosting,1,mid,,,,A pitcher changes water from utility to ritual. This one stays quiet about it.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Hawkins New York,Simple Linen Napkin - Olive,hawkins-new-york-simple-linen-napkin-olive,https://www.hawkinsnewyork.com/products/simple-linen-napkin-olive,home,table linens,all,The Anti-Hostess Table; Warm Minimalism,table softness / linen texture / understated hosting,1,low,$22,,,"The color does the work without turning the table seasonal. Lived-in, washable, and forgiving.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Material Kitchen,The Angled Board,material-kitchen-the-angled-board,https://materialkitchen.com/products/the-angled-board,cooking,prep boards,all,Kitchen Counter Objects Worth Leaving Out; Useful Beauty,countertop clarity / soft utility / daily prep,1,high,$120,,,A prep board with enough weight to stay out and enough restraint not to become decor.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Material Kitchen,The MK Free Board,material-kitchen-the-mk-free-board,https://materialkitchen.com/products/the-mk-free-board,cooking,prep boards,all,Daily Prep; Correct Low; Useful Beauty,countertop clarity / soft utility / daily prep,1,mid,,,,"For the jobs that need washable utility, not romance. The right board keeps cooking moving.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Material Kitchen,The Midi MK Free Board,material-kitchen-the-midi-mk-free-board,https://materialkitchen.com/products/the-midi-mk-free-board,cooking,prep boards,all,Things That Improve a Tuesday; Daily Prep,countertop clarity / soft utility / daily prep,1,low,,,,Small boards get used more than large ones. This is the quiet weekday version.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Material Kitchen,The reBowl,material-kitchen-the-rebowl,https://materialkitchen.com/products/the-rebowl%C2%AE-multiple-colors,cooking,prep bowls,all,Kitchen Counter Objects Worth Leaving Out; Useful Beauty,countertop clarity / soft utility / daily prep,1,low,,,,The unglamorous prep bowl made visually acceptable enough to stay close.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Titanium French Press,snow-peak-titanium-french-press,https://www.snowpeak.com/products/titanium-french-press-cs-111,travel,coffee ritual,all,Portable Ritual; Morning Ritual; Soft Travel,soft travel / outdoor calm / analog movement,1,mid,$59.95,,,"Coffee survives movement here. The object feels light, capable, and strangely calm.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Ti-Double 450 Mug,snow-peak-ti-double-450-mug,https://www.snowpeak.com/products/titanium-double-450-mug,travel,drinkware,all,Portable Ritual; Soft Travel; Morning Ritual,soft travel / outdoor calm / analog movement,1,mid,,,,The mug that makes travel feel less disposable. Lightweight without feeling temporary.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Collapsible Coffee Drip,snow-peak-collapsible-coffee-drip,https://www.snowpeak.com/products/collapsible_pour_over-cs-113,travel,coffee ritual,all,Portable Ritual; Analog Objects; Morning Ritual,soft travel / outdoor calm / analog movement,1,mid,,,,A fold-flat ritual object. It preserves one calm habit when everything else is moving.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Field Barista Coffee Drip,snow-peak-field-barista-coffee-drip,https://www.snowpeak.com/products/field-barista-coffee-drip,travel,coffee ritual,all,Portable Ritual; Analog Objects; Soft Travel,soft travel / outdoor calm / analog movement,1,high,,,,"More engineered than necessary, but in the right way. For the person who refuses hotel-room coffee.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Rechargeable Mini Hozuki,snow-peak-rechargeable-mini-hozuki,https://www.snowpeak.com/products/rechargeable-mini-hozuki,home,portable lighting,all,The Good Lamp Rule; Portable Ritual; Rainy Morning Objects,soft travel / outdoor calm / analog movement,1,mid,,,,"Portable glow without gadget energy. It belongs at camp, bedside, and on a porch after dinner.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Hozuki Lantern,snow-peak-hozuki-lantern,https://www.snowpeak.com/products/hozuki-lantern-2,home,lighting,all,The Good Lamp Rule; Apartment at 7PM; Outdoor Calm,soft travel / outdoor calm / analog movement,1,high,,,,A lantern that understands atmosphere instead of brightness. The flicker matters.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Snow Peak,Low Beach Chair,snow-peak-low-beach-chair,https://www.snowpeak.com/products/low-beach-chair,travel,outdoor seating,all,Soft Travel; Long Weekend; Outdoor Calm,soft travel / outdoor calm / analog movement,1,high,,,,"Canvas, wood, low posture. Outdoor furniture that doesn’t shout camping.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Farmhouse Pottery,Olive Oil Bottle,farmhouse-pottery-olive-oil-bottle,https://www.farmhousepottery.com/products/olive-oil-bottle-1,cooking,countertop vessels,all,Kitchen Counter Objects Worth Leaving Out; Pantry Rituals,kitchen ritual / handmade utility / ceramic warmth,1,mid,,,,A daily pour becomes a little slower. That is the point.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
